N1	N2	dU
146	147	186.4
146	148	78.7
147	151	-46.4
149	146	6.1
149	147	192.5
149	148	84.8
149	150	73.5
149	151	146.1
149	153	96.5
150	147	119
150	151	72.6
150	152	207.6
150	159	-128.25
152	151	-135
152	153	-184.6
152	162	-52.05
153	148	-11.7
153	151	49.6
154	158	-152.5
155	154	-56.8
156	154	143.25
156	157	132.2
157	165	20.05
158	156	9.25
158	157	141.45
158	160	345.6
158	161	270.8
158	163	313.2
159	154	50.4
159	155	107.2
159	158	-102.1
159	162	283.8
159	163	211.1
160	161	-74.8
161	157	-129.35
161	163	42.4
161	164	-138.9
161	165	-109.3
162	163	-72.7
164	163	181.3
164	165	29.6
152	162	-54.05
162	152	52.05
162	152	51.05
152	162	-53.05
