Name	x	y
146	26851.9984	79764.54
147	27055.5826	79580.217
148	26569.4576	79655.34
149	26756.8241	79621.302
150	27166.5667	79461.55
151	26876.1585	79256.433
152	27116.9423	79152.416
153	26702.2671	79092.637
154	28104.0042	79130.532
155	27928.7333	79246.894
156	28375.6495	79042.748
157	28167.9945	78838.393
158	28016.733	78934.677
159	27723.5662	79130.578
160	27874.175	78817.612
161	27959.8166	78636.576
162	27432.5083	78966.225
163	27649.604	78704.671
164	27668.7765	78545.337
165	27967.6185	78366.652
